,title,address,price,building_area,building_use,latitude,longitude,btype
935,萬華文教區.清潔舒適-萬華圖書館,台北市萬華區東園街,6500,5.0,透天厝/分租套房,25.025997,121.49633,透天厝
947,*麗寶科技大樓*一樓黃金店面,台北市內湖區瑞光路,200000,138.0,,25.071146,121.58339309999998,nan
948,雙橡園旁景觀優質的獨立套房-家俱全大陽台,台北市中山區長春路,25000,10.6,電梯大樓/獨立套房,25.0532776,121.5379366,電梯大樓
952,南港三鐵車站高樓兩房，邊間採光明亮,台北市南港區南港路二段,35000,28.0,電梯大樓/整層住家,25.0536846,121.6001129,電梯大樓
957,頂級裝潢-美式休閒辦公室-3~4人,台北市大安區忠孝東路四段,25000,3.0,電梯大樓/辦公,25.0410293,121.55155420000001,電梯大樓
959,(限文大)外宿生最佳的選擇-包水電網路,台北市士林區格致路,8000,6.0,透天厝/獨立套房,25.1408005,121.550972,透天厝
962,【優質】內湖行善路店面、辦公室、車位出租,台北市內湖區行善路,158016,131.68,電梯大樓/店面,25.0653961,121.5865159,電梯大樓
967,離萬隆捷運4號出口近1分鐘,台北市文山區羅斯福路五段,8500,6.0,公寓/獨立套房,25.003169,121.53719199999999,公寓
968,"近行天宮捷運站,交通方便生活機能環竟優良",台北市中山區民權東路二段,9200,6.0,公寓/分租套房,25.061481,121.535625,公寓
970,中國信託總部對面,台北市南港區園區街,3500,10.0,,25.0590496,121.613642,nan
971,中山雙捷運優質亮彩店辦105~165坪,台北市中山區中山北路二段,189000,165.0,電梯大樓/辦公,25.0625639,121.52133149999999,電梯大樓
976,捷運附近大樓104坪稀有物件釋出,台北市大安區光復南路,140000,104.0,電梯大樓/辦公,25.0384723,121.55851499999999,電梯大樓
978,榮總一樓溫馨套房步行北榮1分鐘振興2分鐘,台北市北投區石牌路二段,8600,4.0,公寓/分租套房,25.122614499999997,121.52320859999999,公寓
987,士林區雅房出租(有寬敞的客廳與陽台),台北市士林區延平北路六段,5500,5.0,透天厝/雅房,25.090617,121.50863100000001,透天厝
988,信義路四段【捷運大安站】,台北市大安區信義路四段,68182,35.0,電梯大樓/辦公,25.0330195,121.5439153,電梯大樓
989,南西賺錢金店面,台北市中山區中山北路一段,340000,30.0,,25.051109,121.52245500000001,nan
991,"台大公館捷運站,臺科大,對外窗獨立洗衣機",台北市中正區羅斯福路四段,17000,9.0,電梯大樓/獨立套房,25.0143794,121.5331172,電梯大樓
992,捷運附近大樓118坪有裝潢,台北市大安區光復南路,158000,118.0,電梯大樓/辦公,25.038227,121.5582697,電梯大樓
1004,台大熱鬧商圈清新辦方正明亮週邊機能俱全.,台北市中正區羅斯福路三段,123326,71.0,電梯大樓/辦公,25.017290399999997,121.53284950000001,電梯大樓
1010,花園陽台套房出租,台北市中山區民生東路二段,13000,14.0,電梯大樓/獨立套房,25.058174899999997,121.53078319999999,電梯大樓
1016,美甲/美睫/美容/紋繡/場地出租,台北市中山區林森北路,6000,24.0,電梯大樓/店面,25.0538813,121.5246093,電梯大樓
1018,【敦南遠企捷運】1+2F店辦(可分租),台北市大安區和平東路三段,240000,139.29,電梯大樓/辦公,25.02286,121.553823,電梯大樓
1023,重慶南路全新商務中心專業熟諳英日語秘書,台北市中正區重慶南路一段,14800,5.0,電梯大樓/辦公,25.043552,121.51336,電梯大樓
